Year,Country ,Continent,Sub Continent,Date,Arrivals 
2018,CHINA,Asia,East Asia,2018/10/31,"18,882"
2018,CHINA,Asia,East Asia,2018/11/30,"18,888"
2018,CHINA,Asia,East Asia,2018/12/31,"18,283"
2018,COLOMBIA,South America,Northern South America,2018/01/31,52
2018,COLOMBIA,South America,Northern South America,2018/02/28,59
2018,COLOMBIA,South America,Northern South America,2018/03/31,72
2018,COLOMBIA,South America,Northern South America,2018/04/30,88
2018,COLOMBIA,South America,Northern South America,2018/05/31,33
2018,COLOMBIA,South America,Northern South America,2018/06/30,32
2018,COLOMBIA,South America,Northern South America,2018/07/31,53
2018,COLOMBIA,South America,Northern South America,2018/08/31,52
2018,COLOMBIA,South America,Northern South America,2018/09/30,43
2018,COLOMBIA,South America,Northern South America,2018/10/31,52
2018,COLOMBIA,South America,Northern South America,2018/11/30,53
2018,COLOMBIA,South America,Northern South America,2018/12/31,113
2018,COMOROS,Africa,East Africa,2018/01/31,8
2018,COMOROS,Africa,East Africa,2018/02/28,5
2018,COMOROS,Africa,East Africa,2018/03/31,14
2018,COMOROS,Africa,East Africa,2018/04/30,10
2018,COMOROS,Africa,East Africa,2018/05/31,9
2018,COMOROS,Africa,East Africa,2018/06/30,9
2018,COMOROS,Africa,East Africa,2018/07/31,47
2018,COMOROS,Africa,East Africa,2018/08/31,36
2018,COMOROS,Africa,East Africa,2018/09/30,16
2018,COMOROS,Africa,East Africa,2018/10/31,15
2018,COMOROS,Africa,East Africa,2018/11/30,20
2018,COMOROS,Africa,East Africa,2018/12/31,2
2018,DEMOCRATIC REPUBLIC OF THE CONGO,Africa,Central Africa,2018/01/31,1
2018,DEMOCRATIC REPUBLIC OF THE CONGO,Africa,Central Africa,2018/02/28,2
